"","State","Substitution.Requirements","Pharmacy.Notification.Requirements..to.prescriber..patient..or.others.","Recordkeeping.Requirements","NA."
"106","Utah H.B.279
Effective May 12, 2015","A pharmacist may substitute a biosimilar for the prescribed biologic only if:
1.    FDA has determined it is interchangeable with the prescribed biologic and it is “permitted to move in interstate commerce”;
2.    The purchaser specifically requests or consents to the substitution;
3.    The pharmacist or pharmacy intern counsels the patient on the use and expected response to the biologic, whether a substitute or not; and
4.    The prescriber has not prohibited substitution.","The pharmacist or pharmacy intern must notify the “purchaser” of a substitution.  Out-of-state mail order pharmacies must notify the patient by telephone or in writing.
The pharmacist (or designee) also must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 5 business days of dispensing the biologic;
3.    Via electronic health records (with exceptions).  An entry in an electronic system is presumed to provide notice to the prescriber, otherwise notification can be done through other means.","If the prescriber orders the prescription orally, the pharmacist or pharmacy intern must make a note of the prescriber’s directions about substitution, as well as the prescriber’s name, the words “orally by,” and the initials of the pharmacist or pharmacy intern.
The dispensed biosimilar’s container must be labeled with the name of the product. The pharmacist, pharmacy intern, or pharmacy
technician must indicate on the prescription’s file copy the prescribed biologic and the dispensed biosimilar’s names.",NA
"107","19",NA,NA,NA,NA
"108","State","Substitution Requirements","Pharmacy Notification Requirements (to prescriber, patient, or others)","Recordkeeping Requirements",NA
"109","Vermont","The pharmacist must substitute the lowest priced biosimilar if:
1.    The prescriber has not instructed otherwise; and
2.    The purchaser has not agreed to pay the additional cost of the higher priced product.","The pharmacist (or representative) must notify the
“purchaser” of a substitution.","None.",NA
"110","S. 193",NA,NA,NA,NA
"111","Effective July 1, 2018",NA,"The pharmacist (or designee) also must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 5 business days of dispensing the biologic;
3.    Via an electronic means (i.e., medical records system, prescribing technology, pharmacy benefit system, pharmacy record) (with exceptions).",NA,NA
"112","Virginia
S.B. 1285/ H.B. 1422
Effective July 1, 2013","A pharmacist may dispense a biosimilar that the FDA has licensed as interchangeable with the prescribed biologic, unless:
1.    The prescriber indicates the substitution is not authorized by specifying on prescription “brand medically necessary”; or
2.    The patient insists that the prescribed product be dispensed.","The pharmacist must notify the patient prior to dispensing a substituted biosimilar.  In addition, the patient must be provided the retail cost information for both the prescribed biologic and the dispensed biosimilar at the time of substitution.  This second patient-notification requirement expired on July 1, 2015.
The pharmacist (or designee) also must notify the prescriber of the substitution:
1.    Within 5 business days of dispensing; and
2.    Via writing, telephone, or electronic means. (NOTE: This provision expired on July 1, 2015.)","Records of substitutions must be kept for at least 2 years from the date of dispensing.
For substitutions, the pharmacist (or designee) must indicate on the dispensation record and prescription label the name of manufacturer or distributor of the dispensed biosimilar.  The pharmacist (or designee) also must label the drug with the name of the biosimilar followed by the words
“substituted for [name of prescribed biologic].”",NA
"113","20",NA,NA,NA,NA
"114","State","Substitution Requirements","Pharmacy Notification Requirements (to prescriber, patient, or others)","Recordkeeping Requirements",NA
"115","Washington S.B. 5935
Effective July 24, 2015","A pharmacist must dispense an interchangeable biosimilar if:
1.    It is in stock;
2.    It has a lower wholesale price than the prescribed biologic cheaper and in stock;
3.    The prescriber did not specify in the prescription that substitution is prohibited; and
4.    The patient or patient’s representative does not ask for the prescribed biologic.
Every prescription must contain an instruction as to whether or not an interchangeable biosimilar may be substituted in its place (with exceptions).","Every pharmacy must post a sign that is visible to patients regarding potential substitution of a less expensive biosimilar.
The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name and manufacturer or
NDC number;
2.    Within 5 business days of dispensing the biologic;
3.    Via an electronic medical record and by another means if the prescriber cannot access the record.  An entry in an electronic system is presumed to provide notice to the prescriber.","For oral prescriptions, the pharmacist must record the prescriber’s directions about substitution in the file copy of the prescription.  The pharmacist must note the manufacturer of the dispensed drug on the file copy of a prescription, which must be maintained for 2 years.",NA
"116","West Virginia H.B. 4524
Effective June 9, 2018","A pharmacist must dispense an interchangeable biosimilar if:
1.    It less expensive;
2.    The pharmacist does not believe that the less expensive product is not suitable for the patient;
3.    The prescriber did not specify in the prescription that substitution is prohibited; and
4.    The patient does not instruct otherwise.","The pharmacist must inform the patient (or designee) of a substitution.
The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 5 business days of dispensing the biologic;
3.    Via an electronic medical record and by another means if the prescriber cannot access the record.  An entry in an electronic system is presumed to provide notice to the prescriber.","The pharmacist shall maintain a record of the biological product dispensed for at least two years. Such record shall include the manufacturer and proper name of the interchangeable biological product selected.",NA
"117","21",NA,NA,NA,NA
"118","State","Substitution Requirements","Pharmacy Notification Requirements (to prescriber, patient, or others)","Recordkeeping Requirements",NA
"119","Wisconsin S.B. 575
Effective January 1,
2019","A pharmacist must dispense an interchangeable biosimilar if:
1.    The cost to the consumer is less than the prescribed product; and
2.    The prescriber has not indicated otherwise.","The pharmacist must inform the consumer is a lower priced biosimilar is available and that a substitution has occurred.
The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 5 business days of dispensing the biologic;
3.    Via an electronic medical record and by another means if the prescriber cannot access the record.  An entry in an electronic system is presumed to provide notice to the prescriber.","Every prescription order or medication profile record for a biological product shall include the brand name, if any, and the name of the manufacturer of the biological product.",NA
"120","Wyoming SF0075
Effective July 1, 2018","A pharmacist may dispense an interchangeable biosimilar if the prescriber has not indicated otherwise.","The pharmacist must notify a patient of the biological product which was dispensed, which may be carried out through the prescription label.
The pharmacist (or designee) must notify the prescriber:
1.    Of the product’s name and manufacturer;
2.    Within 5 business days of dispensing the biologic;
3.    Via an electronic medical record and by another means if the prescriber cannot access the record.  An entry in an electronic system is presumed to provide notice to the prescriber.","The national drug code number or the name of the manufacturer or distributor of the generic drug interchangeable biological product or generically equivalent drug dispensed shall be noted on the prescription record or entry by the pharmacist.",NA
"121","22",NA,NA,NA,NA
